,Voltage (V),Sample,dQ/dV
156,3.8155,20,0.277430556
157,3.8165,20,0.221944444
158,3.8175,20,0.664305556
159,3.8185,20,0.3275
160,3.8195,20,0.129888889
161,3.8205,20,0.129888889
162,3.8215,20,0.227583333
163,3.8225,20,0.271111111
164,3.8235,20,0.216944444
165,3.8245,20,0.216481481
166,3.8255,20,0.270393519
167,3.8265,20,0.243194444
168,3.8275,20,0.162083333
169,3.8285,20,0.189050926
170,3.8295,20,0.216018519
171,3.8305,20,0.323888889
172,3.8315,20,0.161875
173,3.8325,20,0.161875
174,3.8335,20,0.161805556
175,3.8345,20,0.161805556
176,3.8355,20,0.323611111
177,3.8365,20,0.161805556
178,3.8375,20,0.161805556
179,3.8385,20,0.323611111
180,3.8395,20,0.161805556
181,3.8405,20,0.161805556
182,3.8415,20,0.161875
183,3.8425,20,0.161875
184,3.8435,20,0.215833333
185,3.8445,20,0.215787037
186,3.8455,20,0.215740741
187,3.8465,20,0.215740741
188,3.8475,20,0.18880787
189,3.8485,20,0.161875
190,3.8495,20,0.161909722
191,3.8505,20,0.161944444
192,3.8515,20,0.161944444
193,3.8525,20,0.161944444
194,3.8535,20,0.188981481
195,3.8545,20,0.216018519
196,3.8555,20,0.162013889
197,3.8565,20,0.162013889
198,3.8575,20,0.162013889
199,3.8585,20,0.162013889
200,3.8595,20,0.162222222
201,3.8605,20,0.162222222
202,3.8615,20,0.162430556
203,3.8625,20,0.162430556
204,3.8635,20,0.162569444
205,3.8645,20,0.162569444
206,3.8655,20,0.162708333
207,3.8665,20,0.162708333
208,3.8675,20,0.21712963
209,3.8685,20,0.173787037
210,3.8695,20,0.130444444
211,3.8705,20,0.130444444
212,3.8715,20,0.163263889
213,3.8725,20,0.163263889
214,3.8735,20,0.130666667
215,3.8745,20,0.130666667
216,3.8755,20,0.228736111
217,3.8765,20,0.217939815
218,3.8775,20,0.109074074
219,3.8785,20,0.109074074
220,3.8795,20,0.136446759
221,3.8805,20,0.163819444
222,3.8815,20,0.191261574
223,3.8825,20,0.218703704
224,3.8835,20,0.131333333
225,3.8845,20,0.131333333
226,3.8855,20,0.175111111
227,3.8865,20,0.218888889
228,3.8875,20,0.131333333
229,3.8885,20,0.131333333
230,3.8895,20,0.14775
231,3.8905,20,0.164166667
232,3.8915,20,0.14775
233,3.8925,20,0.131333333
234,3.8935,20,0.131333333
235,3.8945,20,0.218888889
236,3.8955,20,0.175111111
237,3.8965,20,0.131333333
238,3.8975,20,0.131333333
239,3.8985,20,0.131333333
240,3.8995,20,0.131333333
241,3.9005,20,0.14775
242,3.9015,20,0.164166667
243,3.9025,20,0.14775
244,3.9035,20,0.131333333
245,3.9045,20,0.131333333
246,3.9055,20,0.164166667
247,3.9065,20,0.164166667
248,3.9075,20,0.164027778
249,3.9085,20,0.164027778
250,3.9095,20,0.163958333
251,3.9105,20,0.163958333
252,3.9115,20,0.131277778
253,3.9125,20,0.131277778
254,3.9135,20,0.13125
255,3.9145,20,0.131222222
256,3.9155,20,0.131222222
257,3.9165,20,0.131166667
258,3.9175,20,0.131166667
259,3.9185,20,0.174935185
260,3.9195,20,0.218703704
261,3.9205,20,0.131222222
262,3.9215,20,0.131222222
263,3.9225,20,0.131222222
264,3.9235,20,0.131222222
265,3.9245,20,0.131222222
266,3.9255,20,0.164027778
267,3.9265,20,0.164027778
268,3.9275,20,0.164027778
269,3.9285,20,0.164027778
270,3.9295,20,0.164027778
271,3.9305,20,0.164027778
272,3.9315,20,0.131222222
273,3.9325,20,0.131222222
274,3.9335,20,0.131222222
275,3.9345,20,0.131222222
276,3.9355,20,0.131222222
277,3.9365,20,0.164097222
278,3.9375,20,0.164097222
279,3.9385,20,0.131277778
280,3.9395,20,0.131277778
281,3.9405,20,0.120314815
282,3.9415,20,0.109351852
283,3.9425,20,0.109351852
284,3.9435,20,0.164027778
285,3.9445,20,0.218703704
286,3.9455,20,0.109398148
287,3.9465,20,0.109398148
288,3.9475,20,0.109398148
289,3.9485,20,0.164166667
290,3.9495,20,0.164166667
291,3.9505,20,0.109398148
292,3.9515,20,0.109398148
293,3.9525,20,0.109398148
294,3.9535,20,0.218703704
295,3.9545,20,0.174990741
296,3.9555,20,0.131277778
297,3.9565,20,0.131277778
298,3.9575,20,0.131333333
299,3.9585,20,0.131333333
300,3.9595,20,0.120388889
301,3.9605,20,0.109444444
302,3.9615,20,0.109444444
303,3.9625,20,0.136770833
304,3.9635,20,0.164097222
305,3.9645,20,0.147659722
306,3.9655,20,0.131222222
307,3.9665,20,0.131222222
308,3.9675,20,0.164097222
309,3.9685,20,0.164097222
310,3.9695,20,0.109398148
311,3.9705,20,0.109398148
312,3.9715,20,0.109398148
313,3.9725,20,0.164027778
314,3.9735,20,0.164027778
315,3.9745,20,0.131277778
316,3.9755,20,0.131277778
317,3.9765,20,0.131305556
318,3.9775,20,0.131333333
319,3.9785,20,0.131333333
320,3.9795,20,0.164097222
321,3.9805,20,0.164097222
322,3.9815,20,0.093730159
323,3.9825,20,0.093730159
324,3.9835,20,0.093730159
325,3.9845,20,0.12891369
326,3.9855,20,0.164097222
327,3.9865,20,0.164131944
328,3.9875,20,0.164166667
329,3.9885,20,0.14775
330,3.9895,20,0.131333333
331,3.9905,20,0.131333333
332,3.9915,20,0.131333333
333,3.9925,20,0.131333333
334,3.9935,20,0.131333333
335,3.9945,20,0.131333333
336,3.9955,20,0.131333333
337,3.9965,20,0.131333333
338,3.9975,20,0.131333333
339,3.9985,20,0.131333333
340,3.9995,20,0.131333333
341,4.0005,20,0.131333333
342,4.0015,20,0.131333333
343,4.0025,20,0.131333333
344,4.0035,20,0.131305556
345,4.0045,20,0.131277778
346,4.0055,20,0.131277778
347,4.0065,20,0.131222222
348,4.0075,20,0.131222222
349,4.0085,20,0.147625
350,4.0095,20,0.164027778
351,4.0105,20,0.12889881
352,4.0115,20,0.093769841
353,4.0125,20,0.093769841
354,4.0135,20,0.093769841
355,4.0145,20,0.164166667
356,4.0155,20,0.164166667
357,4.0165,20,0.164166667
358,4.0175,20,0.164166667
359,4.0185,20,0.109444444
360,4.0195,20,0.109444444
361,4.0205,20,0.109444444
362,4.0215,20,0.109444444
363,4.0225,20,0.109444444
364,4.0235,20,0.109444444
365,4.0245,20,0.164166667
366,4.0255,20,0.164166667
367,4.0265,20,0.164166667
368,4.0275,20,0.164166667
369,4.0285,20,0.109444444
370,4.0295,20,0.109444444
371,4.0305,20,0.109444444
372,4.0315,20,0.164166667
373,4.0325,20,0.164166667
374,4.0335,20,0.109444444
375,4.0345,20,0.109444444
376,4.0355,20,0.109444444
377,4.0365,20,0.109398148
378,4.0375,20,0.109398148
379,4.0385,20,0.109398148
380,4.0395,20,0.131277778
381,4.0405,20,0.131277778
382,4.0415,20,0.131305556
383,4.0425,20,0.131333333
384,4.0435,20,0.131333333
385,4.0445,20,0.164166667
386,4.0455,20,0.164166667
387,4.0465,20,0.109444444
388,4.0475,20,0.109444444
389,4.0485,20,0.109444444
390,4.0495,20,0.131333333
391,4.0505,20,0.131333333
392,4.0515,20,0.131333333
393,4.0525,20,0.131333333
394,4.0535,20,0.131333333
395,4.0545,20,0.164166667
396,4.0555,20,0.164166667
397,4.0565,20,7.715138889
398,4.0575,20,0.1375
399,4.0585,20,0.1375
400,4.0595,20,0.1375
401,4.0605,20,0.091666667
402,4.0615,20,0.114583333
403,4.0625,20,0.1375
404,4.0635,20,0.1375
405,4.0645,20,0.1375
406,4.0655,20,0.114583333
407,4.0665,20,0.091666667
408,4.0675,20,0.20625
409,4.0685,20,0.114583333
410,4.0695,20,0.091666667
411,4.0705,20,0.091666667
412,4.0715,20,0.114583333
413,4.0725,20,0.1375
414,4.0735,20,0.1375
415,4.0745,20,0.114583333
416,4.0755,20,0.091666667
417,4.0765,20,0.20625
418,4.0775,20,0.103125
419,4.0785,20,0.06875
420,4.0795,20,0.103125
421,4.0805,20,0.1375
422,4.0815,20,0.1375
423,4.0825,20,0.1375
424,4.0835,20,0.1375
425,4.0845,20,0.137430556
426,4.0855,20,0.103020833
427,4.0865,20,0.068680556
428,4.0875,20,0.103090278
429,4.0885,20,0.20625
430,4.0895,20,0.091666667
431,4.0905,20,0.183333333
432,4.0915,20,0.091666667
433,4.0925,20,0.114583333
434,4.0935,20,0.1375
435,4.0945,20,0.103125
436,4.0955,20,0.06875
437,4.0965,20,0.171875
438,4.0975,20,0.171875
439,4.0985,20,0.06875
440,4.0995,20,0.199375
441,4.1005,20,0.091666667
442,4.1015,20,0.080208333
443,4.1025,20,0.06875
444,4.1035,20,0.171875
445,4.1045,20,0.1375
446,4.1055,20,0.091666667
447,4.1065,20,0.114583333
448,4.1075,20,0.1375
449,4.1085,20,0.114583333
450,4.1095,20,0.091666667
451,4.1105,20,0.1375
452,4.1115,20,0.183333333
453,4.1125,20,0.091666667
454,4.1135,20,0.091666667
455,4.1145,20,0.114583333
456,4.1155,20,0.114583333
457,4.1165,20,0.091666667
458,4.1175,20,0.183287037
459,4.1185,20,0.091574074
460,4.1195,20,0.091574074
461,4.1205,20,0.183287037
462,4.1215,20,0.091666667
463,4.1225,20,0.091666667
464,4.1235,20,0.091666667
465,4.1245,20,0.1375
466,4.1255,20,0.1375
467,4.1265,20,0.091666667
468,4.1275,20,0.114375
469,4.1285,20,0.136805556
470,4.1295,20,0.136458333
471,4.1305,20,0.113657407
472,4.1315,20,0.090925926
473,4.1325,20,0.136527778
474,4.1335,20,0.136527778
475,4.1345,20,0.091018519
476,4.1355,20,0.113773148
477,4.1365,20,0.136458333
478,4.1375,20,0.136458333
479,4.1385,20,0.113773148
480,4.1395,20,0.091018519
481,4.1405,20,0.136388889
482,4.1415,20,0.090925926
483,4.1425,20,0.113657407
484,4.1435,20,0.136388889
485,4.1445,20,0.102291667
486,4.1455,20,0.068194444
487,4.1465,20,0.170486111
488,4.1475,20,0.090925926
489,4.1485,20,0.090925926
490,4.1495,20,0.090925926
491,4.1505,20,0.136388889
492,4.1515,20,0.136527778
493,4.1525,20,0.136666667
494,4.1535,20,0.091111111
495,4.1545,20,0.091064815
496,4.1555,20,0.091018519
497,4.1565,20,0.136388889
498,4.1575,20,0.136388889
499,4.1585,20,0.136388889
500,4.1595,20,0.090925926
501,4.1605,20,0.113657407
502,4.1615,20,0.136388889
503,4.1625,20,0.113703704
504,4.1635,20,0.091018519
505,4.1645,20,0.091111111
506,4.1655,20,0.091111111
507,4.1665,20,0.091111111
508,4.1675,20,0.204722222
509,4.1685,20,0.068194444
510,4.1695,20,0.136527778
511,4.1705,20,0.091018519
512,4.1715,20,0.182037037
513,4.1725,20,0.068263889
514,4.1735,20,0.068263889
515,4.1745,20,0.136388889
516,4.1755,20,0.136527778
517,4.1765,20,0.091018519
518,4.1775,20,0.091018519
519,4.1785,20,0.091018519
520,4.1795,20,0.136527778
521,4.1805,20,0.136527778
522,4.1815,20,0.091018519
523,4.1825,20,0.090972222
524,4.1835,20,0.090925926
525,4.1845,20,0.181851852
526,4.1855,20,0.090925926
527,4.1865,20,0.136388889
528,4.1875,20,0.068194444
529,4.1885,20,0.068194444
530,4.1895,20,0.136388889
531,4.1905,20,0.090925926
532,4.1915,20,0.113657407
533,4.1925,20,0.113657407
534,4.1935,20,0.090925926
535,4.1945,20,0.136388889
536,4.1955,20,0.090925926
537,4.1965,20,0.090925926
538,4.1975,20,0.090925926
539,4.1985,20,0.182083333
540,4.1995,20,0.091111111
541,4.2005,20,0.091018519
542,4.2015,20,0.113703704
543,4.2025,20,0.136388889
544,4.2035,20,0.102326389
545,4.2045,20,0.068263889
546,4.2055,20,0.102395833
547,4.2065,20,0.136458333
548,4.2075,20,0.102291667
549,4.2085,20,0.068194444
550,4.2095,20,0.102361111
551,4.2105,20,0.136527778
552,4.2115,20,0.136458333
553,4.2125,20,0.113657407
554,4.2135,20,0.090925926
555,4.2145,20,0.091018519
556,4.2155,20,0.113773148
557,4.2165,20,0.113726852
558,4.2175,20,0.090925926
559,4.2185,20,0.136388889
560,4.2195,20,0.090925926
561,4.2205,20,0.113657407
562,4.2215,20,0.102291667
563,4.2225,20,0.068194444
564,4.2235,20,0.102291667
565,4.2245,20,0.113657407
566,4.2255,20,0.090925926
567,4.2265,20,0.136388889
568,4.2275,20,0.090925926
569,4.2285,20,0.113657407
570,4.2295,20,0.113657407
571,4.2305,20,0.090925926
572,4.2315,20,0.136388889
573,4.2325,20,0.068194444
574,4.2335,20,0.068194444
575,4.2345,20,0.136388889
0,3.741,19,0.209537037
1,3.742,19,0.209537037
2,3.743,19,0.209537037
3,3.744,19,0.140888889
4,3.745,19,0.140888889
5,3.746,19,0.114472222
6,3.747,19,0.088055556
7,3.748,19,0.088055556
8,3.749,19,0.088055556
9,3.75,19,0.220208333
10,3.751,19,0.352361111
11,3.752,19,0.234930556
12,3.753,19,0.1175
13,3.754,19,0.1175
14,3.755,19,0.411111111
15,3.756,19,0.440416667
16,3.757,19,0.176111111
17,3.758,19,0.264166667
18,3.759,19,0.264201389
19,3.76,19,0.176180556
20,3.761,19,0.205590278
21,3.762,19,0.235
22,3.763,19,0.17625
23,3.764,19,0.17625
24,3.765,19,0.3525
25,3.766,19,0.3525
26,3.767,19,0.235
27,3.768,19,0.235
28,3.769,19,0.235
29,3.77,19,0.3525
30,3.771,19,0.17625
31,3.772,19,0.17625
32,3.773,19,0.235
33,3.774,19,0.205625
34,3.775,19,0.17625
35,3.776,19,0.264444444
36,3.777,19,0.264513889
37,3.778,19,0.176388889
38,3.779,19,0.264583333
39,3.78,19,0.264583333
40,3.781,19,0.176388889
41,3.782,19,0.264583333
42,3.783,19,0.246944444
43,3.784,19,0.141111111
44,3.785,19,0.141111111
45,3.786,19,0.352777778
46,3.787,19,0.235185185
47,3.788,19,0.205787037
48,3.789,19,0.176388889
49,3.79,19,0.176388889
50,3.791,19,0.176388889
51,3.792,19,0.176388889
52,3.793,19,0.176388889
53,3.794,19,0.205787037
54,3.795,19,0.235185185
55,3.796,19,0.176388889
56,3.797,19,0.176388889
57,3.798,19,0.23537037
58,3.799,19,0.205949074
59,3.8,19,0.176527778
60,3.801,19,0.205856481
61,3.802,19,0.235185185
62,3.803,19,0.176388889
63,3.804,19,0.176388889
64,3.805,19,0.235185185
65,3.806,19,0.188148148
66,3.807,19,0.141111111
67,3.808,19,0.141111111
68,3.809,19,0.176388889
69,3.81,19,0.176388889
70,3.811,19,0.235185185
71,3.812,19,0.235185185
72,3.813,19,0.235185185
73,3.814,19,0.117592593
74,3.815,19,0.117592593
75,3.816,19,0.117592593
76,3.817,19,0.352916667
77,3.818,19,0.176527778
78,3.819,19,0.176527778
79,3.82,19,0.141222222
80,3.821,19,0.141222222
81,3.822,19,0.158875
82,3.823,19,0.176527778
83,3.824,19,0.205949074
84,3.825,19,0.23537037
85,3.826,19,0.141222222
86,3.827,19,0.141222222
87,3.828,19,0.188296296
88,3.829,19,0.23537037
89,3.83,19,0.176527778
90,3.831,19,0.176527778
91,3.832,19,0.176527778
92,3.833,19,0.176527778
93,3.834,19,0.23537037
94,3.835,19,0.176527778
95,3.836,19,0.117685185
96,3.837,19,0.117685185
97,3.838,19,0.23537037
98,3.839,19,0.247138889
99,3.84,19,0.141222222
100,3.841,19,0.141222222
101,3.842,19,0.23537037
102,3.843,19,0.188296296
103,3.844,19,0.141222222
104,3.845,19,0.141222222
105,3.846,19,0.176527778
106,3.847,19,0.176527778
107,3.848,19,0.176527778
108,3.849,19,0.176527778
109,3.85,19,0.23537037
110,3.851,19,0.205949074
111,3.852,19,0.176527778
112,3.853,19,0.176527778
113,3.854,19,0.176527778
114,3.855,19,0.176527778
115,3.856,19,0.176527778
116,3.857,19,0.158875
117,3.858,19,0.141222222
118,3.859,19,0.141222222
119,3.86,19,0.141222222
120,3.861,19,0.141222222
121,3.862,19,0.188296296
122,3.863,19,0.23537037
123,3.864,19,0.176527778
124,3.865,19,0.176527778
125,3.866,19,0.176527778
126,3.867,19,0.176527778
127,3.868,19,0.141222222
128,3.869,19,0.141222222
129,3.87,19,0.188296296
130,3.871,19,0.23537037
131,3.872,19,0.141222222
132,3.873,19,0.141222222
133,3.874,19,0.158875
134,3.875,19,0.176527778
135,3.876,19,0.158875
136,3.877,19,0.141222222
137,3.878,19,0.141222222
138,3.879,19,0.176527778
139,3.88,19,0.176527778
140,3.881,19,0.176527778
141,3.882,19,0.176527778
142,3.883,19,0.176527778
143,3.884,19,0.176527778
144,3.885,19,0.141222222
145,3.886,19,0.141222222
146,3.887,19,0.141222222
147,3.888,19,0.141222222
148,3.889,19,0.141222222
149,3.89,19,0.176527778
150,3.891,19,0.176527778
151,3.892,19,0.176527778
152,3.893,19,0.176527778
153,3.894,19,0.176527778
154,3.895,19,0.176527778
155,3.896,19,0.176527778
156,3.897,19,0.176527778
157,3.898,19,0.117685185
158,3.899,19,0.117685185
159,3.9,19,0.117685185
160,3.901,19,0.176527778
161,3.902,19,0.176527778
162,3.903,19,0.141222222
163,3.904,19,0.141222222
164,3.905,19,0.141222222
165,3.906,19,0.141222222
166,3.907,19,0.141222222
167,3.908,19,0.176597222
168,3.909,19,0.176597222
169,3.91,19,0.176666667
170,3.911,19,0.176666667
171,3.912,19,0.117777778
172,3.913,19,0.117777778
173,3.914,19,0.117777778
174,3.915,19,0.141333333
175,3.916,19,0.141333333
176,3.917,19,0.141333333
177,3.918,19,0.141333333
178,3.919,19,0.141333333
179,3.92,19,0.235555556
180,3.921,19,0.176666667
181,3.922,19,0.117777778
182,3.923,19,0.117777778
183,3.924,19,0.147222222
184,3.925,19,0.176666667
185,3.926,19,0.159
186,3.927,19,0.141333333
187,3.928,19,0.141333333
188,3.929,19,0.117777778
189,3.93,19,0.117777778
190,3.931,19,0.117777778
191,3.932,19,0.176666667
192,3.933,19,0.176666667
193,3.934,19,0.141333333
194,3.935,19,0.141333333
195,3.936,19,0.129555556
196,3.937,19,0.117777778
197,3.938,19,0.117777778
198,3.939,19,0.147222222
199,3.94,19,0.176666667
200,3.941,19,0.176666667
201,3.942,19,0.176666667
202,3.943,19,0.147222222
203,3.944,19,0.117777778
204,3.945,19,0.117777778
205,3.946,19,0.129555556
206,3.947,19,0.141333333
207,3.948,19,0.141333333
208,3.949,19,0.141333333
209,3.95,19,0.141333333
210,3.951,19,0.141333333
211,3.952,19,0.141333333
212,3.953,19,0.141333333
213,3.954,19,0.176666667
214,3.955,19,0.176666667
215,3.956,19,0.141333333
216,3.957,19,0.141333333
217,3.958,19,0.129555556
218,3.959,19,0.117777778
219,3.96,19,0.117777778
220,3.961,19,0.129555556
221,3.962,19,0.141333333
222,3.963,19,0.141333333
223,3.964,19,0.141333333
224,3.965,19,0.141333333
225,3.966,19,0.141333333
226,3.967,19,0.141333333
227,3.968,19,0.141333333
228,3.969,19,0.141333333
229,3.97,19,0.141333333
230,3.971,19,0.141333333
231,3.972,19,0.141333333
232,3.973,19,0.141333333
233,3.974,19,0.117777778
234,3.975,19,0.117777778
235,3.976,19,0.117777778
236,3.977,19,0.176666667
237,3.978,19,0.176666667
238,3.979,19,0.117777778
239,3.98,19,0.117777778
240,3.981,19,0.117777778
241,3.982,19,0.141333333
242,3.983,19,0.141333333
243,3.984,19,0.141333333
244,3.985,19,0.141333333
245,3.986,19,0.141333333
246,3.987,19,0.141333333
247,3.988,19,0.141333333
248,3.989,19,0.141333333
249,3.99,19,0.141333333
250,3.991,19,0.141333333
251,3.992,19,0.141333333
252,3.993,19,0.141333333
253,3.994,19,0.129555556
254,3.995,19,0.117777778
255,3.996,19,0.117777778
256,3.997,19,0.117777778
257,3.998,19,0.117777778
258,3.999,19,0.117777778
259,4,19,0.147222222
260,4.001,19,0.176666667
261,4.002,19,0.159
262,4.003,19,0.141333333
263,4.004,19,0.141333333
264,4.005,19,0.117777778
265,4.006,19,0.117777778
266,4.007,19,0.117777778
267,4.008,19,0.141333333
268,4.009,19,0.141333333
269,4.01,19,0.141333333
270,4.011,19,0.141333333
271,4.012,19,0.141333333
272,4.013,19,0.117777778
273,4.014,19,0.117777778
274,4.015,19,0.117777778
275,4.016,19,0.117777778
276,4.017,19,0.117777778
277,4.018,19,0.117777778
278,4.019,19,0.176666667
279,4.02,19,0.176666667
280,4.021,19,0.117777778
281,4.022,19,0.117777778
282,4.023,19,0.117777778
283,4.024,19,0.141222222
284,4.025,19,0.141222222
285,4.026,19,0.141194444
286,4.027,19,0.141166667
287,4.028,19,0.141166667
288,4.029,19,0.11787037
289,4.03,19,0.11787037
290,4.031,19,0.11787037
291,4.032,19,0.141444444
292,4.033,19,0.141444444
293,4.034,19,0.141277778
294,4.035,19,0.141111111
295,4.036,19,0.141111111
296,4.037,19,0.141055556
297,4.038,19,0.141055556
298,4.039,19,0.12937037
299,4.04,19,0.117685185
300,4.041,19,0.117685185
301,4.042,19,0.129481481
302,4.043,19,0.141277778
303,4.044,19,0.141277778
304,4.045,19,0.100992063
305,4.046,19,0.100992063
306,4.047,19,0.100992063
307,4.048,19,0.109477513
308,4.049,19,0.117962963
309,4.05,19,0.117962963
310,4.051,19,0.129759259
311,4.052,19,0.141555556
312,4.053,19,0.141555556
313,4.054,19,0.141555556
314,4.055,19,0.141555556
315,4.056,19,8.506611111
316,4.057,19,0.137222222
317,4.058,19,0.137222222
318,4.059,19,0.137222222
319,4.06,19,0.114351852
320,4.061,19,0.091481481
321,4.062,19,0.137222222
322,4.063,19,0.137222222
323,4.064,19,0.091481481
324,4.065,19,0.114351852
325,4.066,19,0.137222222
326,4.067,19,0.114351852
327,4.068,19,0.091481481
328,4.069,19,0.205833333
329,4.07,19,0.114351852
330,4.071,19,0.091481481
331,4.072,19,0.137222222
332,4.073,19,0.137222222
333,4.074,19,0.182962963
334,4.075,19,0.091481481
335,4.076,19,0.137222222
336,4.077,19,0.137222222
337,4.078,19,0.091481481
338,4.079,19,0.091481481
339,4.08,19,0.091481481
340,4.081,19,0.182962963
341,4.082,19,0.091481481
342,4.083,19,0.137361111
343,4.084,19,0.137361111
344,4.085,19,0.137222222
345,4.086,19,0.137222222
346,4.087,19,0.137222222
347,4.088,19,0.137222222
348,4.089,19,0.091481481
349,4.09,19,0.091481481
350,4.091,19,0.091481481
351,4.092,19,0.137222222
352,4.093,19,0.171319444
353,4.094,19,0.068472222
354,4.095,19,0.102777778
355,4.096,19,0.137083333
356,4.097,19,0.114189815
357,4.098,19,0.091296296
358,4.099,19,0.137083333
359,4.1,19,0.137222222
360,4.101,19,0.137222222
361,4.102,19,0.137222222
362,4.103,19,0.182916667
363,4.104,19,0.091388889
364,4.105,19,0.068541667
365,4.106,19,0.068541667
366,4.107,19,0.137222222
367,4.108,19,0.137222222
368,4.109,19,0.137222222
369,4.11,19,0.137222222
370,4.111,19,0.068611111
371,4.112,19,0.068611111
372,4.113,19,0.182916667
373,4.114,19,0.091388889
374,4.115,19,0.137083333
375,4.116,19,0.137222222
376,4.117,19,0.137222222
377,4.118,19,0.091481481
378,4.119,19,0.114351852
379,4.12,19,0.114351852
380,4.121,19,0.091481481
381,4.122,19,0.137222222
382,4.123,19,0.137222222
383,4.124,19,0.137222222
384,4.125,19,0.137083333
385,4.126,19,0.091388889
